mass,distanceX,distanceY,distanceZ,velocityX,velocityY,velocityZ
2e+30,-97461.35106520855,-866269.6125520754,-1112685.1471349737,0.08133616043962114,-0.2084102439994727,0.13290344587778008
1.9277680354143592e+24,1412039248295.9546,2498948057936.227,661777568141.8905,-5857.604709111304,3318.0722753458926,129.1388529009594
7.940097658435038e+24,-579034590638.3385,-504239658450.04504,-1882569451372.1753,4801.416667029616,-6518.123661847693,430.494000538936
1.307011324491544e+24,-1505632565165.7783,530649903827.62067,-3526432805119.468,-2101.9444906922226,-5479.088530286845,622.5671475604323
1.7363514598378872e+24,-1991719244235.323,2102146513935.507,-604504751795.9893,-4880.171875545239,-4615.77444994912,51.38353050522749
2.8941428328069467e+24,-856002431696.085,-616766098968.0536,-79229429217.39804,6558.717463555061,-9113.549882493253,1088.3264203481576
8.791600253625784e+23,-3466078214335.404,521586843698.10474,-3543991438942.1055,-804.405925244214,-5111.947043358003,27.105679583950415
1.765043864377841e+24,-1672204883566.2522,-901408518011.0134,715821865915.8119,3811.956142281197,-7153.29139221265,-521.337347892167
2.811168983928921e+24,-1333484582517.5654,-447902017370.9193,1217588443150.5732,2510.2209540876825,-8091.329059413297,95.9999704716995
2.7094004997448706e+24,-1554810331843.9788,1359201931670.7683,-716086629220.0934,-5165.342404155198,-5865.3871525205805,-163.60508886004374
1.4460030556372866e+24,225019883414.56235,15203443395.769588,21906936610.317013,-1116.0962962424887,23518.917594350278,-7138.783107299085
5.398703477658077e+24,260739493287.1453,-261759723858.0457,1277975628429.4814,8522.529986062122,5281.616655373215,284.7694476377476
3.835195105435361e+24,1896737309365.1409,-919294208913.6449,2350575872334.322,2926.02850156677,5807.6496571281,118.55202788255438
9.772261259028871e+24,1126822964900.9983,703276309728.9857,-1511080267556.6768,-4093.8799070990362,7038.573151802816,212.09291993670627
4.585330215490198e+24,-203865991976.44067,542862174792.8936,-4320263983745.691,-5328.065473086424,-1501.8018180820743,-329.7350922296298
6.493899016761674e+24,507399567960.02295,-4034392259944.7725,-2177543942765.7505,5340.309420638583,657.2690828629108,-415.431647666066
8.008554935937456e+24,-77982206196.50636,-293554365958.94727,244980100053.72104,15606.253924965731,-8564.706726595427,-4753.576914572748
4.457646530972615e+24,1849951033398.8528,-985848790177.2784,2991133924096.8765,2936.0873962620667,5285.7596863231065,188.23266535553176
2.550761055390933e+24,-292793214578.15533,76924350330.42693,966499222436.575,-6176.904911879766,-9547.741635863491,-2236.524708437643
2.496271149538773e+24,617281902971.0638,-1093390579751.5022,209922483632.0933,8924.795801542592,5014.954397350955,-445.7766819832985
5.557350521558221e+23,558377188449.841,303137362712.242,129128153739.5147,-6749.26329491543,12670.558618267123,371.99769007207396
1.960145568802484e+24,-1644250804815.5696,2650142706877.47,-2595573869864.427,-4892.046793730321,-2989.51317245608,615.8885613272436
5.6453821486201915e+23,190098754646.41968,3820490157.657373,-59402659937.00953,5382.831567044194,18342.68384973941,16551.986650313567
9.180346290669035e+24,-205099246289.718,327380790362.737,-130742614754.24858,-15580.420074906095,-8770.878840305873,3073.237010168268
8.309590506814813e+24,200906095091.0431,-75480377481.1589,-548340300652.9663,11972.67324510543,8340.498121092493,4255.509107585619
6.059251603376647e+24,2863091890149.391,1964279515094.4934,-2131308915715.5374,-3218.704921702173,4732.580549556264,192.47518655747396
2.0912986776655868e+24,-1193877547720.9963,2922933800207.151,3485297474409.115,-4949.65457900483,-1973.6893884639553,250.18458342026727
4.758252858485709e+23,-2165843574621.7605,-3420366580776.0195,-1746717377768.8594,4643.360375009938,-2952.7524116259715,-200.96514908684873
6.185584278967579e+24,-352295457706.67145,704700601.811788,-720093129553.3223,-3456.6550299928094,-12265.259745140027,2458.799646566618
4.485615154669374e+23,837418948030.2662,-928145606381.5829,-290949166351.99036,7592.034386773918,6797.554181120954,929.3186383392625
7.24287145854523e+24,-1010045806101.9471,435740156707.1103,-3156970121762.5024,-2767.075011577539,-5678.855544148725,220.15231756861056
6.247735441140281e+24,865942345210.7844,1659332754911.6172,-4420331560583.76,-4619.264709420342,2538.4019769505444,561.6868242944928
1.4434003211517486e+24,-3991398877670.0405,1284853787475.3354,1585880296237.3252,-1679.9132059079636,-5192.606244991357,431.4011779596181
5.386609919209825e+24,417006765171.8311,-2074124737555.9792,2160983689365.8206,6529.079234361129,1214.9242347847396,-367.1860939927012
9.806512587400337e+24,-953531398523.7103,-1011846820872.4486,1747147866951.5352,5455.216500676196,-5466.05189211441,-774.7638755887194
8.231285628006244e+24,-587687513269.721,164551312622.28217,1499179114959.5652,-3442.8149432528253,-8410.360023066061,279.1393350021687
2.195696361485755e+24,-140398709940.8182,430995633202.9067,-1396949578494.8076,-9419.27841598235,-1350.4229777451262,648.9482080357942
9.596897179979035e+24,118076720319.23538,-907063629507.3234,-102583184994.27972,11943.397849604786,1536.903662814831,96.01615352264874
9.199569203134466e+24,-181168483273.39206,-206318353924.825,-1420155733048.2644,4941.744441729853,-8237.756103489088,5.062300364461525
2.6952010491369714e+24,1000157101646.2236,-75005066841.96764,2692183328387.957,874.4782560156718,6761.18403106314,111.12812531764003
4.46882515356034e+24,-698855804418.0397,1055123809693.6884,-4610880099908.795,-4506.282927436434,-2763.0794830069754,-463.773777550941
8.656022506848006e+24,-989158613960.4667,1026816185173.3029,-436567002044.58215,-6850.824619309938,-6532.660749905624,-555.8841216535353
6.706119947070795e+24,75722598685.03926,15745246703.293068,-3481229086850.207,3493.6893390167143,5112.632770961483,-99.44974243517743
2.387214573836074e+24,-385012222775.6474,615187418730.2961,3095643531360.5063,-5737.78643620075,-3008.6510609840834,-69.87927164936707
5.873552077127485e+24,907242366245.3347,1557557824016.4785,3428491792027.0107,-5003.839325340098,3070.6679540585774,79.33085092262847
2.6153132058509186e+24,-270449476132.97522,-3580630516590.079,-1199169615673.664,5920.137672650344,-456.03589058659395,148.5966571202744
1.0087275554259324e+23,-983373909674.2974,-185636022582.94968,-2661038330923.162,905.0568715757872,-6786.600022520709,542.5821253500187
5.678945823722161e+24,662616841709.6102,-1135835827559.092,454596218616.9258,8492.336578704679,4872.9206457689415,-368.6082779194478
8.62094704835351e+24,-362764038789.9017,-61708247187.56467,-4102095818546.325,170.25338139264434,-5689.668247261165,132.25354127185756
6.717041808866035e+24,-1030240153513.0983,-1596303871989.613,157544340328.33722,7028.759357922065,-4538.984865984568,-496.8843114296681
4.8312114582281366e+24,-183022238027.78674,-1049642405546.4327,-757491075714.184,9883.150737110174,-2017.6500875594909,883.370229127154
1.5551651541953508e+24,105509054045.43169,-58601203761.63377,-1051500727480.1042,11166.16833218041,859.3879801890506,650.240419190249
6.844606449162309e+24,-303856891989.7715,2876426953486.302,248427965969.57523,-6743.951423657394,-711.3853108951207,509.90894968425124
6.638663758202721e+24,284139760447.25244,2904422319745.8525,-965223178814.5594,-6557.462241403673,654.767075916207,-39.055923750503524
4.4503302776961915e+24,-248838525344.65625,-151551605918.69495,621967623285.8387,2408.4319055827896,-13552.58929724822,-2086.0751566978292
9.99236651656763e+24,-26986291426.5052,-44099955055.92431,69518226563.22278,12365.755135290798,-32947.15667089486,-18779.537266763167
5.561448529849587e+24,-751887949239.3378,-629628904441.8212,-254323678410.96594,7317.631367302289,-8855.77352859969,-748.9102618002534
5.5486360997328676e+23,2754541593338.209,1862929334647.1504,1570401541170.6765,-3360.9485107281494,5001.462213139657,336.4558190151237
7.3244026138881e+24,2364179217671.0005,3220621348596.2207,2935566405094.2485,-4170.057200233555,3087.504017971706,-91.75033634124544
5.600460797596673e+24,-35933262260.92169,-637399996139.5183,-40353079679.27519,14428.610712398198,-823.4931661286231,-1175.1238834794622
6.39356525827824e+24,2587725622549.1865,-2397619374080.846,2893319265728.6826,3698.0582316577547,3947.1265998789295,-51.92618291946764
9.577833043367886e+24,96816905036.94731,248575312155.76398,-4617514656780.312,-4570.252043401861,2821.090531717856,260.4321782000188
6.702842536539923e+24,3907029249181.591,-2146350612500.2378,539746792220.9705,2625.85994670406,4778.106847589708,-282.44199219853357
5.564426314881981e+23,2337755996303.4688,-1805155155473.736,84308513883.88297,4108.0222487768615,5319.919423753137,331.48389736148636
6.852206185372576e+24,229221046226.50732,-1022884236197.6388,1783862238600.3147,7921.756450898434,1352.4248195884397,280.24128946666025
8.527911286314588e+24,1692733212891.689,2522621971274.583,-181736910229.8036,-5499.200661567188,3690.617443061518,-43.95383041519348
6.367645664246682e+24,-72317274712.89902,2823366929566.2217,-1805900033170.8982,-6311.058941121936,-124.83204465933309,-448.4902667687961
8.871420124311778e+24,343801232371.2334,321257959336.2357,584857639262.9619,-7360.15521298252,10902.409863563576,-2884.455331442596
4.45168069524611e+24,184989601752.59985,-1800947200857.7168,-3654910734295.105,5704.7114075384,454.55784263448936,-354.87646224699665
6.222364612369972e+24,237195088.3644995,19255089782.922657,91586023219.36159,-25302.217687701457,27204.793395930188,-8131.1641203356685
2.613520146622439e+24,3990832502770.1523,-1115245909653.1047,332128816885.9792,1525.475946914948,5457.193114163481,-517.9664858957627
