mass,distanceX,distanceY,distanceZ,velocityX,velocityY,velocityZ
2e+30,2536090.143579569,-6630477.844893464,-1401402.5217998177,1.2657655243716102,-1.1283950337948363,-0.656868499868684
1.315723515480662e+24,2248226430394.0625,882445858455.5635,-3470481115818.521,-1979.296233978774,5259.027416822146,-83.17555581893359
2.5478928892928903e+24,26083252556.99915,-733780391377.0287,668229504332.2242,11587.83712564764,-338.25788340003464,-71.49639929567869
6.274769572412436e+24,1940674794543.4067,-2066390192686.5718,2082843926179.1597,4518.938201341237,4186.4223745541685,2.0951299271365
9.207918795667334e+23,42402548076.86669,211771358540.1053,-474518244782.67596,-10507.323544626855,11482.781830089794,3285.293454035887
7.549820589531326e+24,-185949691282.26855,-1968277196628.362,-2746879992544.4463,6237.30098597697,-707.7271365139698,437.37088491803456
9.638656815509793e+24,-212870984709.00665,89523181866.11746,-11143732775.294529,-9349.068560250871,-22141.409526142943,-329.95459576493056
2.4895158871130423e+24,1066797336968.8578,1198585710702.1052,-793091573106.1625,-6398.409265377511,5803.94251938722,-286.00123157070027
1.4022881175260818e+24,-1825273093518.276,755172452502.2643,-1504868231270.8518,-2884.3536898339958,-6737.448315084017,355.01143550452935
6.04939776109442e+24,8448168589.554287,-2278019434034.937,-871724973992.072,7399.335362161444,0.336626100238524,-324.4100558994778
7.270663889667538e+24,-79284001036.30612,-2137433822615.1587,994387593888.8989,7512.066344878537,-320.6257562305039,-631.6250505862771
3.9166620115825605e+22,431045271043.6543,-309731866909.5466,223613288052.6536,9330.37886163111,11956.021758727627,-1233.4934109602423
7.42676910526292e+24,1087769302342.6039,-447509340702.016,-3242832773948.4,2604.1578704599196,5643.8229468863665,659.2494529073153
7.342213480601341e+24,589366822513.283,277426031462.17523,-593929100477.5883,-4324.471000967579,11418.454290040154,2246.9485044672597
5.043214019293052e+24,-1223412401138.8027,-333255699575.3816,1276172650173.7952,2007.5148037363342,-8377.773222133448,65.62465556053913
2.757310019511109e+24,-408782830698.57544,-2151935653369.8066,-3038876852262.2134,5847.910810453551,-1208.7483733853387,-357.1105727100557
8.482238524837387e+24,17044153394.085087,954543329749.613,1292649344787.7043,-9070.88951654109,667.6796829120917,-911.7365892987492
1.0147007174337667e+24,-572162643689.7017,1095184132944.9225,979999245781.4594,-8249.018763374022,-4041.499475904145,-865.0356302569816
9.907534403949005e+24,595295574775.509,836355251123.2732,-3987213937293.587,-4480.248601240297,3516.085518968945,-215.101722796684
5.038224661676591e+24,-1080171473885.3789,-3310360600007.5815,130182689307.94614,5883.9755403008885,-1919.7652063655314,-374.3377125798114
9.04711012712813e+24,-133343422875.5751,2124657042341.8438,-7039161227.462731,-7902.958285027271,-496.4786613461332,-154.81934975610653
1.5634145946519285e+24,-281236102020.73065,-1275598291651.5156,341635088441.53094,9705.311864112811,-2183.2511551863367,560.5618667024766
2.611661869646944e+24,2610761117591.5415,1114088276276.593,1632556626252.199,-2476.043068019897,5883.461320594047,-345.1942409719914
1.570900915571161e+24,-1796250383964.4692,-762971464599.3774,-4135843292552.4897,2010.4617224021397,-5014.295122446851,74.38240293387332
9.344598554538858e+24,-3371586525504.359,938228033755.8336,-1045542087115.5251,-1627.952952255133,-5822.570459370997,-260.1997921062258
7.472035942141186e+24,668236804569.7811,174240780869.29233,4701896574128.58,-987.3624618172387,5205.782386641043,-248.65564434072152
6.833607718518113e+24,-2991226481107.8594,-1247421344894.5764,1018369881496.5394,2404.1260363053816,-5789.5445521085685,157.2671286737936
3.672957274942808e+24,2228666236578.68,42837398472.94352,-2765514501548.147,-26.148723217790955,6131.080251104828,-157.5972596699026
9.335924243540142e+24,-466169262885.1348,383148183186.6746,-304791948496.30884,-9333.851989260764,-10401.74103998278,1778.2135635519426
9.830254491609593e+24,113576571265.34537,28981074091.496986,837145140809.1804,10900.909605789628,6147.739597701663,-747.9027327654876
